Grammar	    		 N	      P	     No.Sen.	     NC	                PC	 
asm6502.g4 			 24 	 158 	 	4 	   91.66666666666666% 	 17.72151898734177%
bnf.g4 	     		 30 	 46 	 	4 	        100.0% 	            100.0%
C.g4 	    		 127 	 322 	 	58 	 		100.0% 	 		 93.16770186335404%
Clojure.g4 			 25 	 64 	 	15 	 		100.0% 	 			100.0%
creole.g4 			 28 	 57 	 	4 	   92.85714285714286% 	 68.42105263157895%
CSV.g4 	 		 	 7 	 	 10 	 	2 	 		100.0% 	 			100.0%
DOT.g4 	 	 		 35 	 48 	 	6 	 		100.0% 				100.0%
Erlang.g4 			 119 	 217 	 	10 	   94.9579831932773% 	 85.71428571428571%
fasta.g4 			 14 	 31 	 	10 	 		100.0% 	 			100.0%
gff3.g4 			 21 	 31 	 	4 	 		100.0% 	 			100.0%
ICalendar.g4 		 442 	 689 	 	94 	 		100.0% 	 			100.0%
IDL.g4 	 			 266 	 389 	 	64 	 		100.0% 	 			100.0%
IRI.g4 	 	 		 87 	 174 	 	28 	 		100.0% 	 			100.0%
Java.g4				 172	 318		5			100.0%				100.0%
JSON.g4 	 		 14 	 26 	 	7 	 		100.0% 	 			100.0%
jvmBasic.g4 		 241 	 351 	 	1 	   7.468879668049793% 	 5.698005698005698%
logo.g4 			 50 	 86 	 	27 	 		100.0% 	 			100.0%
ObjC.g4 			 176 	 343 	 	32 	   97.72727272727273% 	 93.00291545189503%
PCRE.g4 			 171 	 373 	 	66 	 		100.0% 				100.0%
PGN.g4 	 			 29 	 36 	 	4 	 		100.0% 	 			100.0%
redcode.g4 			 36 	 63 	 	17 	 		100.0% 	 			100.0%
Smalltalk.g4		 87 	 132 	 	4 	   56.32183908045977% 	 49.24242424242424%
Swift.g4 	 		 236 	 442 	 	22 	   89.83050847457628% 	 86.42533936651584%
tnt.g4 	 	 		 18 	 29 	 	2 	 		100.0% 	 			100.0%
TURTLE.g4 	 		 66 	 130 	 	38 			100.0% 	   			100.0%
Verilog2001.g4		 17 	 18 	 	6 	 		100.0% 				100.0%
WebIDL.g4 	 		 98 	 220 	 	25 	 		100.0% 	 			100.0%
Little.g4 	 		 2 	 	 3 	 		2 	 		100.0% 	 			100.0%
Purdom.g4 	 		 4 	 	 7 	 		2 	 		100.0% 	 			100.0%
SampleGrammar.g4 	 4 	     5 	 		2 	 		100.0% 	 			100.0%
