Grammar	  N	  P	  No.Sen.	  NC	  PC	 
asm6502.g4 	 24 	 158 	 	4 	 91.66666666666666% 	 17.72151898734177%
bnf.g4 	 30 	 46 	 	7 	 100.0% 	 100.0%
C.g4 	 117 	 300 	 	54 	 100.0% 	 92.66666666666666%
Clojure.g4 	 23 	 60 	 	28 	 100.0% 	 100.0%
creole.g4 	 28 	 57 	 	4 	 92.85714285714286% 	 68.42105263157895%
CSV.g4 	 6 	 8 	 	2 	 100.0% 	 100.0%
DOT.g4 	 31 	 41 	 	5 	 100.0% 	 100.0%
Erlang.g4 	 115 	 210 	 	10 	 94.78260869565217% 	 85.23809523809524%
fasta.g4 	 14 	 31 	 	18 	 100.0% 	 100.0%
gff3.g4 	 21 	 31 	 	3 	 100.0% 	 100.0%
ICalendar.g4 	 442 	 689 	 	85 	 100.0% 	 100.0%
IDL.g4 	 260 	 369 	 	61 	 100.0% 	 100.0%
IRI.g4 	 87 	 174 	 	28 	 100.0% 	 100.0%
Java.g4 	 162 	 298 	 	11 	 100.0% 	 100.0%
JSON.g4 	 10 	 20 	 	7 	 100.0% 	 100.0%
jvmBasic.g4 	 239 	 348 	 	36 	 99.581589958159% 	 99.42528735632183%
Little.g4 	 2 	 3 	 	2 	 100.0% 	 100.0%
logo.g4 	 50 	 86 	 	29 	 100.0% 	 100.0%
ObjC.g4 	 167 	 327 	 	23 	 97.60479041916167% 	 92.66055045871559%
PCRE.g4 	 171 	 370 	 	74 	 100.0% 	 100.0%
PGN.g4 	 28 	 33 	 	4 	 100.0% 	 100.0%
Purdom.g4 	 4 	 7 	 	2 	 100.0% 	 100.0%
redcode.g4 	 36 	 63 	 	17 	 100.0% 	 100.0%
SampleGrammar.g4 	 4 	 5 	 	2 	 100.0% 	 100.0%
Smalltalk.g4 	 87 	 131 	 	4 	 56.32183908045977% 	 49.61832061068702%
SQLite.g4 	 301 	 507 	 	30 	 98.33887043189368% 	 95.26627218934911%
Swift.g4 	 221 	 416 	 	34 	 89.14027149321268% 	 86.53846153846155%
tnt.g4 	 18 	 29 	 	2 	 100.0% 	 100.0%
TURTLE.g4 	 50 	 102 	 	44 	 100.0% 	 100.0%
Verilog2001.g4 	 17 	 18 	 	6 	 100.0% 	 100.0%
WebIDL.g4 	 97 	 218 	 	23 	 100.0% 	 100.0%
