Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 26 	 40 	6 	 100.0% 	 100.0% 	 
asm6502.g4 	 25 	 179 	134 	 100.0% 	 100.0% 	 
bnf.g4 	 31 	 50 	14 	 100.0% 	 100.0% 	 
C.g4 	 117 	 392 	5 	 100.0% 	 100.0% 	 
Clojure.g4 	 24 	 66 	34 	 100.0% 	 100.0% 	 
creole.g4 	 29 	 91 	7 	 100.0% 	 100.0% 	 
CSV.g4 	 7 	 13 	3 	 100.0% 	 100.0% 	 
DOT.g4 	 32 	 66 	14 	 100.0% 	 100.0% 	 
Erlang.g4 	 116 	 251 	15 	 100.0% 	 100.0% 	 
fasta.g4 	 15 	 34 	19 	 100.0% 	 100.0% 	 
gff3.g4 	 22 	 35 	3 	 100.0% 	 100.0% 	 
ICalendar.g4 	 442 	 863 	374 	 100.0% 	 100.0% 	 
IDL.g4 	 261 	 473 	112 	 100.0% 	 100.0% 	 
IRI.g4 	 87 	 443 	96 	 100.0% 	 100.0% 	 
Java.g4 	 163 	 463 	63 	 100.0% 	 100.0% 	 
JSON.g4 	 10 	 22 	7 	 100.0% 	 100.0% 	 
jvmBasic.g4 	 240 	 392 	87 	 100.0% 	 100.0% 	 
Little.g4 	 2 	 3 	2 	 100.0% 	 100.0% 	 
logo.g4 	 51 	 113 	32 	 100.0% 	 100.0% 	 
ObjC.g4 	 168 	 495 	91 	 100.0% 	 100.0% 	 
PCRE.g4 	 171 	 396 	167 	 100.0% 	 100.0% 	 
PGN.g4 	 28 	 37 	6 	 100.0% 	 100.0% 	 
Purdom.g4 	 4 	 7 	2 	 100.0% 	 100.0% 	 
redcode.g4 	 37 	 97 	28 	 100.0% 	 100.0% 	 
SampleGrammar.g4 	 4 	 5 	2 	 100.0% 	 100.0% 	 
Smalltalk.g4 	 87 	 164 	39 	 100.0% 	 100.0% 	 
Swift.g4 	 222 	 611 	90 	 100.0% 	 100.0% 	 
tnt.g4 	 18 	 33 	3 	 100.0% 	 100.0% 	 
TURTLE.g4 	 51 	 111 	49 	 100.0% 	 100.0% 	 
Verilog2001.g4 	 18 	 29 	9 	 100.0% 	 100.0% 	 
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 
