Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 25 	 116 	25 	 100.0% 	 100.0% 	 
asm6502.g4 	 20 	 311 	172 	 100.0% 	 100.0% 	 
bnf.g4 	 20 	 47 	27 	 100.0% 	 100.0% 	 
C.g4 	 118 	 19782 	3211 	 100.0% 	 100.0% 	 
Clojure.g4 	 24 	 239 	143 	 100.0% 	 100.0% 	 
creole.g4 	 17 	 118 	5 	 100.0% 	 100.0% 	 
CSV.g4 	 6 	 50 	28 	 100.0% 	 100.0% 	 
DOT.g4 	 30 	 547 	222 	 100.0% 	 100.0% 	 
Erlang.g4 	 105 	 1538 	53 	 100.0% 	 100.0% 	 
fasta.g4 	 10 	 31 	19 	 100.0% 	 100.0% 	 
gff3.g4 	 11 	 32 	11 	 100.0% 	 100.0% 	 
ICalendar.g4 	 313 	 9350 	3591 	 100.0% 	 100.0% 	 
IDL.g4 	 206 	 1873 	549 	 100.0% 	 100.0% 	 
IRI.g4 	 69 	 696 	256 	 100.0% 	 100.0% 	 
Java.g4 	 161 	 62302 	4051 	 100.0% 	 100.0% 	 
JSON.g4 	 10 	 136 	64 	 100.0% 	 100.0% 	 
jvmBasic.g4 	 237 	 22373 	10417 	 100.0% 	 100.0% 	 
Little.g4 	 3 	 7 	2 	 100.0% 	 100.0% 	 
logo.g4 	 48 	 420 	131 	 100.0% 	 100.0% 	 
ObjC.g4 	 149 	 8848 	1876 	 100.0% 	 100.0% 	 
PCRE.g4 	 172 	 1443 	990 	 100.0% 	 100.0% 	 
PGN.g4 	 18 	 33 	12 	 100.0% 	 100.0% 	 
Purdom.g4 	 5 	 17 	2 	 100.0% 	 100.0% 	 
redcode.g4 	 10 	 70 	28 	 100.0% 	 100.0% 	 
SampleGrammar.g4 	 4 	 7 	3 	 100.0% 	 100.0% 	 
Smalltalk.g4 	 88 	 863 	113 	 100.0% 	 100.0% 	 
Swift.g4 	 221 	 31730 	3657 	 100.0% 	 98.9000945477466% 	 
tnt.g4 	 19 	 224 	50 	 100.0% 	 100.0% 	 
TURTLE.g4 	 45 	 297 	73 	 100.0% 	 100.0% 	 
Verilog2001.g4 	 14 	 56 	21 	 100.0% 	 100.0% 	 
WebIDL.g4 	 98 	 686 	87 	 100.0% 	 100.0% 	 
