Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 24 	 46 	3 	 100.0% 	 100.0% 	 
asm6502.g4 	 19 	 161 	4 	 94.73684210526315% 	 16.149068322981368% 	 
bnf.g4 	 19 	 35 	13 	 100.0% 	 100.0% 	 
C.g4 	 117 	 1870 	164 	 100.0% 	 86.47058823529412% 	 
Clojure.g4 	 23 	 171 	105 	 100.0% 	 100.0% 	 
creole.g4 	 16 	 44 	5 	 87.5% 	 63.63636363636363% 	 
CSV.g4 	 5 	 15 	9 	 100.0% 	 100.0% 	 
DOT.g4 	 29 	 109 	41 	 100.0% 	 100.0% 	 
Erlang.g4 	 104 	 765 	14 	 100.0% 	 85.359477124183% 	 
fasta.g4 	 9 	 26 	18 	 100.0% 	 100.0% 	 
gff3.g4 	 10 	 26 	7 	 100.0% 	 100.0% 	 
ICalendar.g4 	 312 	 1953 	386 	 100.0% 	 100.0% 	 
IDL.g4 	 205 	 457 	123 	 100.0% 	 100.0% 	 
IRI.g4 	 68 	 334 	110 	 100.0% 	 100.0% 	 
Java.g4 	 160 	 42972 	39 	 100.0% 	 100.0% 	 
JSON.g4 	 9 	 83 	43 	 100.0% 	 100.0% 	 
jvmBasic.g4 	 236 	 1006 	534 	 100.0% 	 100.0% 	 
Little.g4 	 2 	 6 	2 	 100.0% 	 100.0% 	 
logo.g4 	 47 	 111 	58 	 100.0% 	 98.1981981981982% 	 
ObjC.g4 	 148 	 1144 	255 	 100.0% 	 85.13986013986013% 	 
PCRE.g4 	 171 	 1111 	392 	 100.0% 	 100.0% 	 
PGN.g4 	 17 	 25 	8 	 100.0% 	 100.0% 	 
Purdom.g4 	 4 	 16 	2 	 100.0% 	 100.0% 	 
redcode.g4 	 9 	 35 	17 	 100.0% 	 100.0% 	 
SampleGrammar.g4 	 3 	 6 	3 	 100.0% 	 100.0% 	 
Smalltalk.g4 	 87 	 197 	6 	 59.77011494252874% 	 43.65482233502538% 	 
Swift.g4 	 220 	 4356 	772 	 98.63636363636363% 	 90.88613406795226% 	 
tnt.g4 	 18 	 197 	50 	 100.0% 	 100.0% 	 
TURTLE.g4 	 44 	 175 	38 	 100.0% 	 100.0% 	 
Verilog2001.g4 	 13 	 14 	6 	 100.0% 	 100.0% 	 
WebIDL.g4 	 97 	 685 	87 	 100.0% 	 100.0% 	 
