Grammar 	 VAR 	 PROD 	 TERM 
Abnf.g4 	 23 	 29 	 46
asm6502.g4 	 23 	 153 	 153
bnf.g4 	 30 	 44 	 29
C.g4 	 221 	 410 	 500
Clojure.g4 	 25 	 59 	 54
creole.g4 	 27 	 51 	 56
CSV.g4 	 6 	 8 	 9
DOT.g4 	 31 	 39 	 88
Erlang.g4 	 110 	 207 	 320
fasta.g4 	 13 	 29 	 22
gff3.g4 	 20 	 35 	 34
ICalendar.g4 	 449 	 809 	 248
IDL.g4 	 247 	 367 	 339
IRI.g4 	 105 	 211 	 305
Java.g4 	 248 	 381 	 554
JSON.g4 	 13 	 25 	 31
jvmBasic.g4 	 222 	 309 	 231
Little.g4 	 2 	 3 	 2
logo.g4 	 43 	 72 	 80
ObjC.g4 	 277 	 413 	 688
PCRE.g4 	 168 	 395 	 643
PGN.g4 	 35 	 40 	 26
Purdom.g4 	 4 	 7 	 9
redcode.g4 	 35 	 60 	 44
SampleGrammar.g4 	 4 	 5 	 6
Smalltalk.g4 	 80 	 110 	 78
SQLite.g4 	 266 	 443 	 660
Swift.g4 	 243 	 530 	 439
tnt.g4 	 18 	 25 	 21
TURTLE.g4 	 52 	 100 	 119
Verilog2001.g4 	 338 	 675 	 1348
WebIDL.g4 	 101 	 256 	 220
Grammar 	 VAR 	 PROD 	 TERM 
Abnf.g4 	 23 	 29 	 25
asm6502.g4 	 23 	 153 	 144
bnf.g4 	 30 	 44 	 26
C.g4 	 221 	 410 	 141
Clojure.g4 	 25 	 59 	 44
creole.g4 	 27 	 51 	 33
CSV.g4 	 6 	 8 	 7
DOT.g4 	 31 	 39 	 38
Erlang.g4 	 110 	 207 	 77
fasta.g4 	 13 	 29 	 21
gff3.g4 	 20 	 35 	 25
ICalendar.g4 	 449 	 809 	 80
IDL.g4 	 247 	 367 	 152
IRI.g4 	 105 	 211 	 83
Java.g4 	 248 	 381 	 124
JSON.g4 	 13 	 25 	 19
jvmBasic.g4 	 222 	 309 	 125
Little.g4 	 2 	 3 	 2
logo.g4 	 43 	 72 	 48
ObjC.g4 	 277 	 413 	 166
PCRE.g4 	 168 	 395 	 130
PGN.g4 	 35 	 40 	 24
Purdom.g4 	 4 	 7 	 9
redcode.g4 	 35 	 60 	 38
SampleGrammar.g4 	 4 	 5 	 6
Smalltalk.g4 	 80 	 110 	 47
SQLite.g4 	 266 	 443 	 67
Swift.g4 	 243 	 530 	 153
tnt.g4 	 18 	 25 	 20
TURTLE.g4 	 52 	 100 	 64
Verilog2001.g4 	 338 	 675 	 184
WebIDL.g4 	 101 	 256 	 75
Grammar 	 VAR 	 PROD 	 TERM 
Abnf.g4 	 23 	 29 	 23
asm6502.g4 	 23 	 153 	 142
bnf.g4 	 30 	 44 	 24
C.g4 	 221 	 410 	 139
Clojure.g4 	 25 	 59 	 42
creole.g4 	 27 	 51 	 31
CSV.g4 	 6 	 8 	 5
DOT.g4 	 31 	 39 	 36
Erlang.g4 	 110 	 207 	 75
fasta.g4 	 13 	 29 	 19
gff3.g4 	 20 	 35 	 23
ICalendar.g4 	 449 	 809 	 78
IDL.g4 	 247 	 367 	 150
IRI.g4 	 105 	 211 	 81
Java.g4 	 248 	 381 	 122
JSON.g4 	 13 	 25 	 17
jvmBasic.g4 	 222 	 309 	 123
Little.g4 	 2 	 3 	 2
logo.g4 	 43 	 72 	 46
ObjC.g4 	 277 	 413 	 164
PCRE.g4 	 168 	 395 	 128
PGN.g4 	 35 	 40 	 22
Purdom.g4 	 4 	 7 	 7
redcode.g4 	 35 	 60 	 36
SampleGrammar.g4 	 4 	 5 	 4
Smalltalk.g4 	 80 	 110 	 45
SQLite.g4 	 266 	 443 	 65
Swift.g4 	 243 	 530 	 151
tnt.g4 	 18 	 25 	 18
TURTLE.g4 	 52 	 100 	 62
Verilog2001.g4 	 338 	 675 	 182
WebIDL.g4 	 101 	 256 	 73
