Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 49 	 93 	40 	 100.0% 	 100.0% 	 124
asm6502.g4 	 47 	 211 	155 	 100.0% 	 100.0% 	 487
bnf.g4 	 59 	 128 	68 	 100.0% 	 100.0% 	 230
C.g4 	 233 	 971 	729 	 100.0% 	 100.0% 	 2084
Clojure.g4 	 45 	 283 	245 	 100.0% 	 100.0% 	 374
creole.g4 	 55 	 157 	65 	 100.0% 	 100.0% 	 230
CSV.g4 	 11 	 21 	6 	 100.0% 	 100.0% 	 25
DOT.g4 	 61 	 149 	62 	 100.0% 	 100.0% 	 179
Erlang.g4 	 229 	 603 	161 	 100.0% 	 100.0% 	 721
fasta.g4 	 27 	 64 	38 	 100.0% 	 100.0% 	 149
gff3.g4 	 41 	 74 	55 	 100.0% 	 100.0% 	 273
ICalendar.g4 	 883 	 5934 	6824 	 100.0% 	 100.0% 	 9129
IDL.g4 	 519 	 2043 	1657 	 100.0% 	 100.0% 	 3160
IRI.g4 	 173 	 1011 	799 	 100.0% 	 100.0% 	 2388
Java.g4 	 323 	 1084 	495 	 100.0% 	 100.0% 	 1393
JSON.g4 	 19 	 59 	40 	 100.0% 	 100.0% 	 75
jvmBasic.g4 	 477 	 1323 	797 	 100.0% 	 100.0% 	 1630
Little.g4 	 3 	 5 	3 	 100.0% 	 100.0% 	 6
logo.g4 	 99 	 346 	221 	 100.0% 	 100.0% 	 416
ObjC.g4 	 333 	 1291 	680 	 100.0% 	 100.0% 	 1688
PCRE.g4 	 341 	 1439 	1297 	 100.0% 	 100.0% 	 2584
PGN.g4 	 55 	 80 	28 	 100.0% 	 100.0% 	 112
Purdom.g4 	 7 	 13 	4 	 100.0% 	 100.0% 	 16
redcode.g4 	 71 	 167 	81 	 100.0% 	 100.0% 	 241
SampleGrammar.g4 	 7 	 9 	2 	 100.0% 	 100.0% 	 12
Smalltalk.g4 	 173 	 460 	338 	 100.0% 	 100.0% 	 791
SQLite.g4 	 601 	 6760 	5216 	 100.0% 	 100.0% 	 10413
Swift.g4 	 441 	 3072 	3434 	 100.0% 	 100.0% 	 6034
tnt.g4 	 35 	 67 	14 	 100.0% 	 100.0% 	 90
TURTLE.g4 	 99 	 521 	520 	 100.0% 	 100.0% 	 1042
Verilog2001.g4 	 33 	 61 	23 	 100.0% 	 100.0% 	 80
WebIDL.g4 	 193 	 1475 	1350 	 100.0% 	 100.0% 	 2479
