Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 49 	 86 	20 	 100.0% 	 100.0% 	 117
asm6502.g4 	 47 	 190 	147 	 100.0% 	 100.0% 	 466
bnf.g4 	 59 	 125 	63 	 100.0% 	 100.0% 	 227
C.g4 	 233 	 871 	663 	 100.0% 	 100.0% 	 1984
Clojure.g4 	 45 	 278 	241 	 100.0% 	 100.0% 	 369
creole.g4 	 55 	 123 	62 	 100.0% 	 100.0% 	 196
CSV.g4 	 11 	 17 	6 	 100.0% 	 100.0% 	 21
DOT.g4 	 61 	 125 	50 	 100.0% 	 100.0% 	 155
Erlang.g4 	 229 	 559 	105 	 100.0% 	 100.0% 	 677
fasta.g4 	 27 	 62 	36 	 100.0% 	 100.0% 	 147
gff3.g4 	 41 	 71 	39 	 100.0% 	 100.0% 	 270
ICalendar.g4 	 883 	 5760 	2629 	 100.0% 	 100.0% 	 8955
IDL.g4 	 519 	 1940 	1462 	 100.0% 	 100.0% 	 3057
IRI.g4 	 173 	 742 	667 	 100.0% 	 100.0% 	 2119
Java.g4 	 323 	 920 	329 	 100.0% 	 100.0% 	 1229
JSON.g4 	 19 	 57 	32 	 100.0% 	 100.0% 	 73
jvmBasic.g4 	 477 	 1279 	456 	 100.0% 	 100.0% 	 1586
Little.g4 	 3 	 5 	3 	 100.0% 	 100.0% 	 6
logo.g4 	 99 	 319 	205 	 100.0% 	 100.0% 	 389
ObjC.g4 	 333 	 1115 	560 	 100.0% 	 100.0% 	 1512
PCRE.g4 	 341 	 1413 	1042 	 100.0% 	 100.0% 	 2558
PGN.g4 	 55 	 76 	24 	 100.0% 	 100.0% 	 108
Purdom.g4 	 7 	 13 	4 	 100.0% 	 100.0% 	 16
redcode.g4 	 71 	 134 	71 	 100.0% 	 100.0% 	 208
SampleGrammar.g4 	 7 	 9 	2 	 100.0% 	 100.0% 	 12
Smalltalk.g4 	 173 	 422 	322 	 100.0% 	 100.0% 	 753
SQLite.g4 	 601 	 4691 	2673 	 100.0% 	 100.0% 	 8344
Swift.g4 	 441 	 2863 	2895 	 100.0% 	 100.0% 	 5825
tnt.g4 	 35 	 63 	14 	 100.0% 	 100.0% 	 86
TURTLE.g4 	 99 	 513 	463 	 100.0% 	 100.0% 	 1034
Verilog2001.g4 	 33 	 51 	16 	 100.0% 	 100.0% 	 70
WebIDL.g4 	 193 	 1475 	1350 	 100.0% 	 100.0% 	 2479
